coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
bitcoin,BTC,893734645226.9036,0.60810535,-0.48223802,23.68218084,47980.18319843375,75082125151.75046
ethereum,ETH,213098972046.40582,0.26416375,4.06416816,10.76445896,1858.7229256933188,38176950782.85398
tether,USDT,31640204690.304783,0.0025034,0.09012034,0.13860812,1.00163054166829,145916419338.47183
cardano,ADA,29234327819.684826,0.32258458,3.36379581,74.94302926,0.93963333858787,7356316261.536234
xrp,XRP,28714056822.3731,3.53590534,20.26480438,46.07197047,0.63241209387038,14187372361.100424
polkadot-new,DOT,26803348211.563423,-0.14451508,17.36658921,44.92388608,29.52955707923324,4781204694.645481
binance-coin,BNB,20694132268.497356,-0.96675526,7.15402483,109.46059387,133.91418700243676,2899283260.0016575
litecoin,LTC,13556168572.42624,0.33805669,9.30108598,33.75512938,203.93218505343867,11738145272.869831
stellar,XLM,13140108004.355238,6.63390096,29.73773452,70.04993492,0.586688051115,4705821217.474184
chainlink,LINK,12879458760.23989,1.0208484,15.33623113,26.11047948,31.64411880907356,4500116673.703478
bitcoin-cash,BCH,10820820240.63643,-0.0206613,6.85400687,25.41980385,580.105108773803,7368494923.215144
dogecoin,DOGE,9002308874.442692,-1.303197,6.46781807,54.3160685,0.07014122785228,3896212961.545516
usd-coin,USDC,6995349534.162882,0.00370984,-0.01196824,-0.01045633,0.999823143444,2275296407.9985104
uniswap,UNI,6975730737.907875,0.56491964,7.28386976,13.04978182,23.16145333802037,1282207948.5799055
aave,AAVE,6459724800.165153,-2.16108913,0.34811592,7.87068015,521.7597965068471,834610228.3531291
wrapped-bitcoin,WBTC,6092747635.34011,0.57122951,-0.56228759,23.21845753,47881.957004745156,214989148.58314428
eos,EOS,4599575990.420335,1.03099433,7.38612736,51.40395889,4.83913458269141,7001950777.52764
cosmos,ATOM,4468382239.702967,-0.4148961,18.86497018,74.70742258,21.2486874383807,2519142115.928864
bitcoin-sv,BSV,4385592761.269699,0.2165157,3.74863835,24.7877949,235.13743425975142,1340863396.5975978
tron,TRX,4071739628.7063117,0.52905681,2.82321166,64.91433364,0.05682052884668,3152518716.2151246
avalanche,AVAX,3831282673.990714,-1.14102534,6.33828211,198.89163281,49.7976256073642,672369809.7784361
tezos,XTZ,3812274750.378751,-1.05060225,16.90361441,56.11452991,5.01723503536892,1455199488.2731278
iota,MIOTA,3713696208.471865,6.31325817,15.62526866,159.77368772,1.33608769481137,399124330.87282807
vechain,VET,3614784559.548729,-1.77755429,22.70767218,89.4939327,0.05620387359919,1973789381.6262953
monero,XMR,3589605100.6542215,-1.32634346,-1.02062589,31.01701396,201.23214247107015,1674394818.792252
nem,XEM,3571674105.1184573,-0.35944601,-2.18540829,43.38711514,0.39685267839059,221321201.67741197
synthetix-network-token,SNX,3172304753.18247,1.45933764,2.88520919,26.66793179,27.62332293884968,360135789.67134964
theta,THETA,3048498855.18189,1.21738847,3.81595126,33.27898104,3.04849885518189,168331446.52862838
the-graph,GRT,3007784307.2046146,-2.64755244,20.41887601,171.63625932,2.41459766401944,3856459268.1707535
elrond-egld,EGLD,2924970764.590844,0.77088443,4.93797884,99.62600993,172.66525228552726,300034502.9400951
terra-luna,LUNA,2750268677.5692067,0.03853817,4.22838913,112.44138769,5.92190064723018,338022782.0371244
neo,NEO,2728217836.792194,0.42753519,4.65074026,53.44443383,38.67682237025156,1609977917.0315719
maker,MKR,2720377544.3632884,0.13512356,5.15446261,11.08719993,2732.148827325251,309337553.1890177
huobi-token,HT,2572679317.6955395,0.58500218,2.79330895,69.0564716,13.1868575274688,545985091.8781123
compound,COMP,2529830657.6975055,0.12480288,7.90809817,12.82345188,548.7607778400596,766677770.2108028
algorand,ALGO,2436446024.2280307,-4.984649,35.29005986,116.54906026,1.67696077128952,2146644445.34551
solana,SOL,2438105313.6926036,0.3616476,1.31550972,47.47815283,9.30929376881746,58162768.87358259
filecoin,FIL,2231820737.4349885,0.32206765,9.14484896,82.58850062,43.98694313462275,1363699069.1306357
sushiswap,SUSHI,2171410591.5105777,-0.07081176,0.5788447,19.51740954,17.06487560726387,699023503.0845685
crypto-com-coin,CRO,2161706020.4151964,3.48256577,8.85550589,41.01966324,0.0933276068482,219153967.78915176
multi-collateral-dai,DAI,2055881337.5721817,0.03560692,0.10398188,0.14367963,1.0020736225075,271538118.0657646
ftx-token,FTT,1983852631.995541,-0.66109132,0.50672829,44.63123138,21.02720303933661,34926604.31938151
yearn-finance,YFI,1763207561.175819,1.54199252,4.19463684,52.59865673,48129.318937541946,1264896680.4207401
uma,UMA,1759328650.8216858,0.18682183,8.12835659,3.94019208,31.53873814575346,168015220.01370144
dash,DASH,1739535438.3934588,0.8876682,5.71753712,48.66880931,174.45165875634973,1521065663.6352031
binance-usd,BUSD,1662763908.488676,0.03,0.05001,0.03,1.0003,3508171909.9754443
zcash,ZEC,1625921963.606547,-1.2143686,0.92061235,56.29725924,146.21805846926105,1736783314.3803885
near-protocol,NEAR,1480412115.4358337,-1.59684343,48.59560265,94.80045447,5.20466054565474,176440601.06393614
ethereum-classic,ETC,1406614853.8698094,0.48980835,0.79195925,45.37791461,12.09332781344126,1718756161.7364092
celsius,CEL,1398240354.9324598,1.88700856,-2.04006295,16.57922896,5.85372080236868,7623295.66780011
unus-sed-leo,LEO,1388507541.721589,0.01421809,0.21663546,0.50629305,1.38920368154976,20136835.73815105
0x,ZRX,1379816754.8077853,1.02439866,-4.63584411,27.66004726,1.83900425427036,595882739.9739398
decred,DCR,1374215050.980428,0.93508227,2.66724786,39.52292838,109.10062807832477,29669728.77830979
kusama,KSM,1366483425.868981,2.01864351,13.11728635,37.58964621,161.33029589868687,184759064.57092106
zilliqa,ZIL,1365991212.8709183,1.40003838,9.22012358,58.01967144,0.12482401680613,239366689.21291265
bittorrent,BTT,1263689663.7201972,1.81586128,-1.72106946,177.7814862,0.00127654090892,259804544.29624152
waves,WAVES,1150533029.1682744,1.45882411,6.86904591,36.19505284,11.02917372999163,163122885.2536625
ren,REN,1039423700.1575208,-2.68738772,4.6299665,26.49770947,1.0442659078972,274067302.04374343
revain,REV,1033460317.7822659,-0.02574259,0.21658597,4.12714458,0.01214956815533,5162205.71342626
loopring,LRC,1018049940.8421134,-1.57677934,13.12798665,23.59292826,0.8359206047439,247239353.87158233
hedera-hashgraph,HBAR,990804492.9744316,1.09798267,2.62259309,38.99085521,0.13877176635764,123013362.60087144
ontology,ONT,985208436.798382,4.92791952,9.72445272,89.25822612,1.21941849949653,733927689.7176635
basic-attention-token,BAT,952850746.7903736,1.38631464,6.15706005,83.99825586,0.64098892348289,957048133.219236
digibyte,DGB,936736509.8139731,0.55347955,25.77099086,80.46704157,0.06676100863519,140302764.7830701
nexo,NEXO,941284692.065738,0.24467761,5.90967913,18.70559914,1.68086548852896,20223158.68556292
omg,OMG,894740527.60148,-1.34065039,6.51726921,30.46556214,6.3798209338575,980638397.7994186
celo,CELO,890591754.9088713,0.01859547,-0.39218519,58.72287753,4.82842384494719,43910037.97921063
nano,NANO,868705290.5303811,-2.03195019,2.16559943,79.3815498,6.51944759373585,281075619.1924578
renbtc,RENBTC,853503107.527037,0.580884,-0.75260611,23.1701147,47807.997759037564,4048683.8749244
icon,ICX,832011312.22848,-1.03852588,6.21515789,80.25341958,1.41539992820972,206052187.4888814
swissborg,CHSB,828869695.1069125,0.13562377,2.02620776,11.44015068,0.88262113905403,8096409.51270952
pancakeswap,CAKE,813780801.6061802,-1.86568374,21.32977812,156.51579976,7.15474813630256,144175041.24942008
voyager-token,VGX,775914212.0165523,-2.9253615,29.46874359,43.96137825,3.49046755887132,44782705.10749788
curve-dao-token,CRV,774335121.4469125,1.27684053,0.62473837,3.52759442,3.49597580509191,314616332.2472064
1inch,1INCH,757379316.5675232,0.38113897,-0.92655192,-1.29867798,5.41928451922353,338459314.3140196
qtum,QTUM,731529634.7133447,-0.6776147,0.94428868,97.28963694,7.45541515472035,2112796835.3468502
thorchain,RUNE,679974987.5744534,0.70421543,-1.45978203,18.29401941,4.29190194161236,71005092.30011077
paxos-standard,PAX,675605327.6431625,0.11528032,-0.17485639,0.03369255,1.00074883197959,217595619.53224385
reserve-rights,RSR,651365995.8473105,-2.43203976,19.02658475,71.12019799,0.06966481984087,509405700.45390266
siacoin,SC,637420797.4774841,0.82484866,18.98695872,54.04838248,0.01356039533849,113058210.23677522
polygon,MATIC,614668732.6385558,0.30375354,-0.28147498,149.94677528,0.12376552237454,199854715.43377447
iostoken,IOST,582209386.552011,12.3235209,33.3134085,84.75315575,0.03555656144251,590369372.7165174
stacks,STX,559040604.9023871,1.42499067,6.10967974,66.81411983,0.75568300504564,25903106.82953455
okb,OKB,557770105.3328466,2.03452018,7.00361182,43.40380341,9.29616842221411,256444477.57171544
hedgetrade,HEDG,530463192.68422633,1.44874864,0.46372708,8.32338283,1.5211222410062,121365.26195848
horizen,ZEN,528986977.6549124,3.68733815,3.98492752,34.57653492,49.17624075150512,41524434.00749035
decentraland,MANA,531249648.1497482,10.1332114,21.33995821,76.32447824,0.34632923975811,245487252.8816642
quant,QNT,518420663.2272558,-2.31421046,-3.24763998,21.83219672,42.9414324428523,11498851.95427612
enjin-coin,ENJ,508431465.8689709,1.45617061,3.27583893,63.4129857,0.60949422934187,203679255.26934642
kyber-network,KNC,498258678.30021924,0.97738784,0.88072824,34.6375674,2.43328253269444,190046251.95566848
husd,HUSD,487844289.41325194,0.00169991,0.00799692,0.03339527,0.99939129539553,133706272.51243716
ocean-protocol,OCEAN,488002256.77263796,-0.12536993,4.90713965,69.33458843,1.16460859771386,233941654.85168603
fantom,FTM,484947516.4584958,1.16357455,-2.10699305,28.0635006,0.19054865270994,128949894.32489179
bancor,BNT,452894355.7495095,0.52901129,12.44782087,47.9470219,3.58043965018305,165505636.26375994
ravencoin,RVN,427815121.83198345,4.25978876,8.03320528,84.18659751,0.0526811091496,62926117.16613501
bitcoin-bep2,BTCB,427885356.019963,0.9588887,-0.12786551,25.75875382,48136.64878838943,21305445.97651943
verge,XVG,413695583.97020113,0.01550059,4.01059279,43.29379238,0.0251799325223,62234402.50841282
status,SNT,405504587.6798316,5.24538944,8.22489028,92.36884635,0.11684382133752,130295158.24517934
band-protocol,BAND,408791230.47000086,6.87872031,20.59907492,72.30958759,19.94684209273756,349249748.8545477
ampleforth,AMPL,405984561.4724442,-4.17931361,-8.80226896,-21.66041015,1.27210707137192,28053790.94861181
